symbol,symbol,metric_type,metric
ABT,5DayPriceReturnDaily,-2.61941,
ABT,assetTurnoverAnnual,0.49287,
ABT,assetTurnoverTTM,,
ABT,beta,0.67716,
ABT,bookValuePerShareAnnual,18.50917,
ABT,bookValuePerShareQuarterly,,
ABT,bookValueShareGrowth5Y,5.14435,
ABT,capitalSpendingGrowth5Y,14.42136,
ABT,cashFlowPerShareAnnual,4.38074,
ABT,cashFlowPerShareTTM,4.89375,
ABT,cashPerSharePerShareAnnual,4.03561,
ABT,cashPerSharePerShareQuarterly,,
ABT,currentDividendYieldTTM,1.27415,
ABT,currentEv/freeCashFlowAnnual,72.73834,
ABT,currentEv/freeCashFlowTTM,78.4096,
ABT,currentRatioAnnual,1.71672,
ABT,currentRatioQuarterly,,
ABT,dividendGrowthRate5Y,10.75215,
ABT,dividendPerShare5Y,1.188,
ABT,dividendPerShareAnnual,1.44,
ABT,dividendYield5Y,1.63115,
ABT,dividendYieldIndicatedAnnual,1.499,
ABT,dividendsPerShareTTM,1.53,
ABT,ebitdPerShareTTM,5.57856,
ABT,ebitdaCagr5Y,14.58082,
ABT,ebitdaInterimCagr5Y,18.22261,
ABT,epsBasicExclExtraItemsAnnual,2.53638,
ABT,epsBasicExclExtraItemsTTM,3.2278,
ABT,epsExclExtraItemsAnnual,2.51792,
ABT,epsExclExtraItemsTTM,3.21035,
ABT,epsGrowth3Y,34.42442,
ABT,epsGrowth5Y,7.79003,
ABT,epsGrowthQuarterlyYoy,227.4941,
ABT,epsGrowthTTMYoy,61.112,
ABT,epsInclExtraItemsAnnual,2.5168,
ABT,epsInclExtraItemsTTM,3.19806,
ABT,epsNormalizedAnnual,2.49663,
ABT,focfCagr5Y,50.26481,
ABT,freeCashFlowAnnual,3164,
ABT,freeCashFlowPerShareTTM,,
ABT,freeCashFlowTTM,,
ABT,freeOperatingCashFlow/revenue5Y,7.88052,
ABT,freeOperatingCashFlow/revenueTTM,,
ABT,grossMargin5Y,57.10816,
ABT,grossMarginAnnual,56.75277,
ABT,grossMarginTTM,56.90449,
ABT,inventoryTurnoverAnnual,3.20905,
ABT,inventoryTurnoverTTM,,
ABT,longTermDebt/equityAnnual,56.51232,
ABT,longTermDebt/equityQuarterly,,
ABT,marketCapitalization,212725.3,
ABT,monthToDatePriceReturnDaily,0.20027,
ABT,netDebtAnnual,11599,
ABT,netDebtInterim,,
ABT,netIncomeEmployeeAnnual,41638.89,
ABT,netIncomeEmployeeTTM,52715.6,
ABT,netInterestCoverageAnnual,11.03659,
ABT,netInterestCoverageTTM,14.13996,
ABT,netMarginGrowth5Y,0.34638,
ABT,netProfitMargin5Y,9.24635,
ABT,netProfitMarginAnnual,12.99411,
ABT,netProfitMarginTTM,15.38915,
ABT,operatingMargin5Y,12.39498,
ABT,operatingMarginAnnual,15.81137,
ABT,operatingMarginTTM,18.17184,
ABT,payoutRatioAnnual,60.52924,
ABT,payoutRatioTTM,36.2165,
ABT,pbAnnual,6.4876,
ABT,pbQuarterly,,
ABT,pcfShareTTM,24.30035,
ABT,peBasicExclExtraTTM,37.12746,
ABT,peExclExtraAnnual,47.69016,
ABT,peExclExtraHighTTM,74.63764,
ABT,peExclExtraTTM,37.40402,
ABT,peExclLowTTM,30.17556,
ABT,peInclExtraTTM,37.54776,
ABT,peNormalizedAnnual,48.09683,
ABT,pfcfShareAnnual,67.23301,
ABT,pfcfShareTTM,,
ABT,pretaxMargin5Y,10.70782,
ABT,pretaxMarginAnnual,14.35506,
ABT,pretaxMarginTTM,17.08179,
ABT,priceRelativeToS&P50013Week,-13.69032,
ABT,priceRelativeToS&P50026Week,-10.65479,
ABT,priceRelativeToS&P5004Week,-2.93628,
ABT,priceRelativeToS&P50052Week,-9.17281,
ABT,priceRelativeToS&P500Ytd,-1.47826,
ABT,psAnnual,6.14671,
ABT,psTTM,5.69729,
