,RSI,RSI,RSI,RSI,RSI,RSI,RSI,RSI,RSI,RSI
,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE
time,,,,,,,,,,
2020-10-02 00:00:00-04:00,52.50836120401341,47.58909853249476,39.70772442588727,39.5230499799269,41.507311586051785,38.66525423728814,27.316722749442334,52.05479452054795,39.58814352574102,40.175554185883406
2020-10-05 00:00:00-04:00,59.65909090909089,42.62863236470275,33.92500787732384,44.15963161934,51.53129161118507,41.125296576657995,31.057237125233083,54.74888115365489,39.132348318138966,38.66201786881676
2020-10-06 00:00:00-04:00,55.445544554455466,37.87878787878787,36.6628830874007,44.21392346703551,48.61809045226131,38.20754716981129,30.617476002757677,51.090487238979115,37.309675098909,44.4327573253193
2020-10-07 00:00:00-04:00,55.60187597707139,38.07864609258337,39.33134003805381,41.73764906303237,47.61077324066027,44.89966555183947,31.237407803220105,52.242863615768,36.697610112581486,42.905318073931326
2020-10-08 00:00:00-04:00,49.727520435967286,35.19999999999999,34.73299863076223,47.96266788071934,46.77846425419236,55.50303848750848,32.07697802428675,53.75164545853447,33.26577417462266,45.03410085961297
2020-10-09 00:00:00-04:00,50.331125827814574,38.87486476739993,42.137320044296786,46.097618486206095,44.58398744113031,53.55048859934855,32.900253206591685,50.95492742551565,31.290144980730414,46.04227705271313
2020-10-12 00:00:00-04:00,56.02850004626631,41.64625183733465,40.77642391612357,52.552926525529266,41.869738591050044,55.316285329744275,33.75814449043151,49.07241172950331,30.349739555650054,45.149102186996146
2020-10-13 00:00:00-04:00,65.01664340169661,38.531278331822314,47.60836308006126,55.019556714471946,45.7627118644068,54.02873204247344,40.41603296865033,47.344110854503484,34.406917537886784,48.28126468837148
2020-10-14 00:00:00-04:00,66.56040452896562,33.902593295382665,53.24743165592893,54.29303244753083,43.608675588371014,55.875299760191844,41.334170611535114,50.77399380804956,53.99132575313564,44.46368279802615
2020-10-15 00:00:00-04:00,64.42937324602434,34.985422740524804,50.10221148485413,56.08483549177456,46.0943542150039,52.26977950713357,40.77632028087968,52.357885738709186,59.45732349841934,45.40323592123416
2020-10-16 00:00:00-04:00,63.42431165083566,32.39237350939836,39.808917197452246,56.26185958254268,46.09435421500384,50.000000000000014,37.95023757216575,55.04772146793922,50.57803468208094,42.41809603598042
