219,XLV,LLY,ELI LILLY + CO COMMON STOCK
220,XLV,BMY,BRISTOL MYERS SQUIBB CO COMMON STOCK USD.1
221,XLV,AMGN,AMGEN INC COMMON STOCK USD.0001
222,XLV,CVS,CVS HEALTH CORP COMMON STOCK USD.01
223,XLV,ISRG,INTUITIVE SURGICAL INC COMMON STOCK USD.001
224,XLV,ANTM,ANTHEM INC COMMON STOCK USD.01
225,XLV,CI,CIGNA CORP COMMON STOCK USD.01
226,XLV,GILD,GILEAD SCIENCES INC COMMON STOCK USD.001
227,XLV,SYK,STRYKER CORP COMMON STOCK USD.1
228,XLV,ZTS,ZOETIS INC COMMON STOCK USD.01
229,XLV,BDX,BECTON DICKINSON AND CO COMMON STOCK USD1.0
230,XLV,BSX,BOSTON SCIENTIFIC CORP COMMON STOCK USD.01
231,XLV,HUM,HUMANA INC COMMON STOCK USD.166
232,XLV,EW,EDWARDS LIFESCIENCES CORP COMMON STOCK USD1.0
233,XLV,VRTX,VERTEX PHARMACEUTICALS INC COMMON STOCK USD.01
234,XLV,HCA,HCA HEALTHCARE INC COMMON STOCK USD.01
235,XLV,ILMN,ILLUMINA INC COMMON STOCK USD.01
236,XLV,REGN,REGENERON PHARMACEUTICALS COMMON STOCK USD.001
237,XLV,IDXX,IDEXX LABORATORIES INC COMMON STOCK USD.1
238,XLV,IQV,IQVIA HOLDINGS INC COMMON STOCK USD.01
239,XLV,BAX,BAXTER INTERNATIONAL INC COMMON STOCK USD1.0
240,XLV,BIIB,BIOGEN INC COMMON STOCK USD.0005
241,XLV,ALGN,ALIGN TECHNOLOGY INC COMMON STOCK USD.0001
242,XLV,A,AGILENT TECHNOLOGIES INC COMMON STOCK USD.01
243,XLV,CNC,CENTENE CORP COMMON STOCK USD.001
244,XLV,ALXN,ALEXION PHARMACEUTICALS INC COMMON STOCK USD.0001
245,XLV,ZBH,ZIMMER BIOMET HOLDINGS INC COMMON STOCK USD.01
246,XLV,DXCM,DEXCOM INC COMMON STOCK USD.001
247,XLV,MTD,METTLER TOLEDO INTERNATIONAL COMMON STOCK USD.01
248,XLV,MCK,MCKESSON CORP COMMON STOCK USD.01
249,XLV,RMD,RESMED INC COMMON STOCK USD.004
250,XLV,LH,LABORATORY CRP OF AMER HLDGS COMMON STOCK USD.1
251,XLV,WST,WEST PHARMACEUTICAL SERVICES COMMON STOCK USD.25
252,XLV,CERN,CERNER CORP COMMON STOCK USD.01
253,XLV,COO,COOPER COS INC/THE COMMON STOCK USD.1
254,XLV,WAT,WATERS CORP COMMON STOCK USD.01
255,XLV,TFX,TELEFLEX INC COMMON STOCK USD1.0
256,XLV,DGX,QUEST DIAGNOSTICS INC COMMON STOCK USD.01
257,XLV,CAH,CARDINAL HEALTH INC COMMON STOCK
258,XLV,STE,STERIS PLC COMMON STOCK USD75.0
259,XLV,CTLT,CATALENT INC COMMON STOCK USD.01
260,XLV,ABC,AMERISOURCEBERGEN CORP COMMON STOCK USD.01
261,XLV,HOLX,HOLOGIC INC COMMON STOCK USD.01
262,XLV,VTRS,VIATRIS INC COMMON STOCK
263,XLV,PKI,PERKINELMER INC COMMON STOCK USD1.0
264,XLV,INCY,INCYTE CORP COMMON STOCK USD.001
265,XLV,XRAY,DENTSPLY SIRONA INC COMMON STOCK USD.01
266,XLV,ABMD,ABIOMED INC COMMON STOCK USD.01
267,XLV,BIO,BIO RAD LABORATORIES A COMMON STOCK USD.0001
268,XLV,UHS,UNIVERSAL HEALTH SERVICES B COMMON STOCK USD.01
269,XLV,HSIC,HENRY SCHEIN INC COMMON STOCK USD.01
270,XLV,DVA,DAVITA INC COMMON STOCK USD.001
271,XLV,PRGO,PERRIGO CO PLC COMMON STOCK EUR.001
,,,
,,XLI,Industrials
,,,
272,XLI,HON,HONEYWELL INTERNATIONAL INC COMMON STOCK USD1.0
273,XLI,UPS,UNITED PARCEL SERVICE CL B COMMON STOCK USD.01
274,XLI,UNP,UNION PACIFIC CORP COMMON STOCK USD2.5
275,XLI,CAT,CATERPILLAR INC COMMON STOCK USD1.0
276,XLI,RTX,RAYTHEON TECHNOLOGIES CORP COMMON STOCK USD1.0
277,XLI,BA,BOEING CO/THE COMMON STOCK USD5.0
278,XLI,DE,DEERE + CO COMMON STOCK USD1.0
279,XLI,MMM,3M CO COMMON STOCK USD.01
280,XLI,GE,GENERAL ELECTRIC CO COMMON STOCK USD.06
281,XLI,LMT,LOCKHEED MARTIN CORP COMMON STOCK USD1.0
282,XLI,CSX,CSX CORP COMMON STOCK USD1.0
283,XLI,FDX,FEDEX CORP COMMON STOCK USD.1
284,XLI,NSC,NORFOLK SOUTHERN CORP COMMON STOCK USD1.0
285,XLI,ITW,ILLINOIS TOOL WORKS COMMON STOCK USD.01
286,XLI,NOC,NORTHROP GRUMMAN CORP COMMON STOCK USD1.0
287,XLI,ETN,EATON CORP PLC COMMON STOCK USD.01
288,XLI,WM,WASTE MANAGEMENT INC COMMON STOCK USD.01
289,XLI,EMR,EMERSON ELECTRIC CO COMMON STOCK USD.5
290,XLI,ROP,ROPER TECHNOLOGIES INC COMMON STOCK USD.01
291,XLI,JCI,JOHNSON CONTROLS INTERNATION COMMON STOCK USD.01
292,XLI,LHX,L3HARRIS TECHNOLOGIES INC COMMON STOCK USD1.0
293,XLI,GD,GENERAL DYNAMICS CORP COMMON STOCK USD1.0
294,XLI,TT,TRANE TECHNOLOGIES PLC COMMON STOCK USD1.0
295,XLI,PH,PARKER HANNIFIN CORP COMMON STOCK USD.5
296,XLI,INFO,IHS MARKIT LTD COMMON STOCK USD.01
297,XLI,CMI,CUMMINS INC COMMON STOCK USD2.5
